iter	TotalF1:average=Macro	MultiClass
0	0.4796352451	1.089640426
1	0.4916115051	1.081979486
2	0.4890704973	1.074342073
3	0.4932952683	1.067052828
4	0.4959819505	1.06059221
5	0.4954043468	1.054406575
6	0.4995307403	1.049542333
7	0.5000780792	1.04448064
8	0.4993609027	1.040091428
9	0.5004470058	1.03583043
10	0.5008261993	1.031864452
11	0.5006458461	1.028520255
12	0.5012360965	1.024802115
13	0.5005330214	1.021770376
14	0.5018186169	1.018911244
15	0.5017134132	1.016004629
16	0.5013126261	1.013248815
17	0.5019524323	1.011048035
18	0.5025492113	1.008635701
19	0.5024300911	1.006460259
20	0.5027229297	1.004647235
21	0.5045044732	1.002524667
22	0.5050366039	1.00089347
23	0.5051329648	0.998980373
24	0.5058774895	0.997433622
25	0.5057768812	0.9958472152
26	0.5059212538	0.9942514742
27	0.5066398166	0.9927337764
28	0.5069876347	0.9913611933
29	0.5065518217	0.9902116947
30	0.5071411584	0.9889878136
31	0.5077751883	0.9878091666
32	0.5083358585	0.9865350653
33	0.5088918592	0.985476127
34	0.5095150775	0.9843044779
35	0.5094718335	0.9832010961
36	0.5096850407	0.9821616253
37	0.5096523418	0.9813170314
38	0.5098667422	0.9802563684
39	0.5101730941	0.9794084402
40	0.5101906161	0.9786503856
41	0.5105513455	0.9779950294
42	0.5106832143	0.9770701533
43	0.5108712056	0.9761422239
44	0.5107145912	0.9753966966
45	0.5108028618	0.9746510977
46	0.5112572709	0.9739262293
47	0.5118865944	0.9733731271
48	0.5123491963	0.9727743743
49	0.5125432495	0.9721536531
50	0.5126474969	0.9716441613
51	0.5131891214	0.9709478967
52	0.5133967182	0.9704284642
53	0.5134397653	0.9699427895
54	0.5138042343	0.969356795
55	0.5138832359	0.968755246
56	0.514011452	0.9682011488
57	0.5141432696	0.9677631234
58	0.5145108596	0.9672260212
59	0.5150931595	0.966890925
60	0.5152808632	0.9664684552
61	0.5150712744	0.9660859861
62	0.5153377579	0.9657414824
63	0.515710664	0.9653616448
64	0.5160096113	0.9649644443
65	0.5158461528	0.9646848122
66	0.5157489757	0.9643394317
67	0.5159658099	0.9639389523
68	0.5162346347	0.9637078159
69	0.5164100769	0.9634090208
70	0.5159915529	0.9629791074
71	0.5165160908	0.9625549173
72	0.5164978582	0.9621936518
73	0.5167026719	0.9619409816
74	0.5167096878	0.9616010105
75	0.5169128831	0.9613569207
76	0.5170062934	0.9611957169
77	0.5169466118	0.9609643782
78	0.5172252733	0.9606248228
79	0.5172602392	0.9602863112
80	0.5173323783	0.9600468811
81	0.5172939587	0.9597152482
82	0.5177167578	0.9593888759
83	0.5179108195	0.9591684043
84	0.5183965685	0.9588202264
85	0.5183384443	0.958509457
86	0.5184790822	0.9581282788
87	0.518776672	0.9578976868
88	0.518804618	0.9576257728
89	0.5189432206	0.9573922349
90	0.5192077102	0.9572158513
91	0.5193405913	0.9569980023
92	0.5194892604	0.9567673469
93	0.5194144885	0.9565316208
94	0.5195382181	0.9563742581
95	0.5196428307	0.9561027358
96	0.5196065999	0.9559556786
97	0.5199420906	0.9557544972
98	0.5200425038	0.9556388949
99	0.5200317257	0.9554909916
100	0.5201111168	0.9553141837
101	0.5201722466	0.9551363238
102	0.5206426807	0.9548824246
103	0.5206352854	0.9547285709
104	0.5206000117	0.9544933502
105	0.5207108678	0.9542752623
106	0.5209113738	0.9541127224
107	0.5208434346	0.9539348986
108	0.5209838172	0.9537879794
109	0.5210377105	0.9535897607
110	0.5211690705	0.953423157
111	0.5216255685	0.9532294682
112	0.5215128822	0.9530906133
113	0.5219068557	0.9529296605
114	0.5221023068	0.9528312021
115	0.5221024813	0.952676295
116	0.522150614	0.9525535052
117	0.5222825331	0.9524101014
118	0.5226321309	0.9523253301
119	0.5224783515	0.9521591704
120	0.5223594312	0.952012484
121	0.5224967278	0.9518139076
122	0.5224866879	0.9517172077
123	0.5226900968	0.9516125497
124	0.5228067318	0.9514635326
125	0.5229369203	0.9513887341
126	0.5229078898	0.9512629586
127	0.5230811993	0.9511409967
128	0.5229871627	0.9510020578
129	0.5231195384	0.9509394782
130	0.5230932466	0.9507928997
131	0.5231838126	0.9506935677
132	0.5233226388	0.9506182385
133	0.5234428339	0.9505576648
134	0.5235856487	0.9504093457
135	0.523600684	0.9502922731
136	0.5237835548	0.9501347943
137	0.523834611	0.9500141388
138	0.5237999279	0.9497812044
139	0.5240493809	0.9495601717
140	0.5242100756	0.9493544777
141	0.5244769699	0.9491454272
142	0.524517562	0.9489915318
143	0.5246891125	0.9488385556
144	0.5246267725	0.9487512693
145	0.5249175384	0.9486607864
146	0.524921893	0.9486469007
147	0.5248497447	0.9485023133
148	0.5248947052	0.948443973
149	0.5249606362	0.9483372025
150	0.5249779194	0.9482818588
151	0.5250886344	0.9481959196
152	0.5249511577	0.9479831092
153	0.5252452096	0.9478202838
154	0.5253129528	0.947718653
155	0.5253558645	0.9476290639
156	0.5253917311	0.9475675857
157	0.5253568418	0.9474685571
158	0.5255238523	0.9474056588
159	0.5256044973	0.947272702
160	0.5259504061	0.9471417757
161	0.5256805446	0.9470475466
162	0.5257265555	0.9469728235
163	0.5258468663	0.9468937764
164	0.5259687847	0.9467935132
165	0.5258282975	0.9467050335
166	0.5258406917	0.9465943815
167	0.5262875794	0.9464879722
168	0.5263483984	0.9463330129
169	0.5263740196	0.9462527616
170	0.5264509507	0.9461523975
171	0.5263850292	0.9461017662
172	0.5265221416	0.9460121401
173	0.5263113963	0.9459327072
174	0.5263829988	0.9458414971
175	0.5264548663	0.9457871161
176	0.5263172451	0.94571977
177	0.5265661792	0.9456521113
178	0.526577638	0.9455588446
179	0.5265836604	0.9454656282
180	0.5266071439	0.9453733791
181	0.5265910476	0.9452471004
182	0.5266079381	0.9451811125
183	0.5265865893	0.9451021317
184	0.5269005999	0.9450534789
185	0.5268549137	0.9449723471
186	0.5266539802	0.9448354544
187	0.5267012296	0.9447284567
188	0.526755843	0.9446071355
189	0.5268378522	0.944556396
190	0.5268397904	0.9444691493
191	0.5268900535	0.9443876926
192	0.526994801	0.944325032
193	0.5271132645	0.9442310763
194	0.5271999269	0.9441227124
195	0.5273426276	0.9440306525
196	0.527249194	0.9439790885
197	0.5273776993	0.9438815735
198	0.5275216678	0.9437677719
199	0.5277322533	0.9437231485
200	0.5276408702	0.9436598334
201	0.5276006497	0.9435750359
202	0.5277215344	0.9435041255
203	0.5277742425	0.9434387833
204	0.5278922073	0.9433867072
205	0.528024208	0.9432862947
206	0.5279033096	0.9431723268
207	0.5278338439	0.9430848989
208	0.528037947	0.9429894233
209	0.5278891104	0.9429240897
210	0.5279673219	0.9428106485
211	0.5279274803	0.9427057443
212	0.5280375169	0.9426760892
213	0.5282030056	0.942598621
214	0.5283400051	0.9425494135
215	0.5282793657	0.9424861473
216	0.5281103898	0.9423964561
217	0.5284309133	0.9422968245
218	0.5284206345	0.9422649583
219	0.5285155956	0.9422108172
220	0.5286157598	0.9421838348
221	0.5286237533	0.9421171774
222	0.5287114566	0.9419949997
223	0.5287077121	0.9419415257
224	0.5286278956	0.9418633723
225	0.5286663476	0.9417853572
226	0.52870822	0.9417523155
227	0.528722158	0.9416246707
228	0.5288384456	0.9415728502
229	0.5288479706	0.9415172707
230	0.528999086	0.9414293484
231	0.5290617259	0.941381952
232	0.5292365989	0.9413346044
233	0.5292582006	0.9412927935
234	0.5292261883	0.941234819
235	0.5293300066	0.9411530546
236	0.5293940852	0.9410792023
