iter	Passed	Remaining
0	483	483110
1	777	388045
2	1079	358654
3	1364	339696
4	1676	333706
5	1972	326726
6	2226	315869
7	2477	307218
8	2755	303445
9	3005	297540
10	3328	299293
11	3580	294809
12	3907	296698
13	4190	295151
14	4498	295371
15	4795	294908
16	5109	295431
17	5372	293100
18	5668	292683
19	5927	290432
20	6230	290465
21	6514	289611
22	6871	291875
23	7129	289940
24	7434	289931
25	7752	290421
26	8008	288612
27	8291	287833
28	8587	287548
29	8878	287063
30	9172	286710
31	9470	286484
32	9773	286382
33	10100	286961
34	10392	286548
35	10675	285875
36	10941	284774
37	11191	283332
38	11427	281581
39	11743	281832
40	11977	280155
41	12276	280013
42	12503	278274
43	12790	277910
44	13090	277804
45	13334	276535
46	13634	276456
47	13912	275934
48	14161	274856
49	14415	273891
50	14658	272756
51	14966	272847
52	15208	271738
53	15518	271859
54	15862	272553
55	16124	271806
56	16408	271457
57	16657	270547
58	16912	269744
59	17169	268991
60	17472	268957
61	17742	268425
62	18036	268260
63	18314	267855
64	18557	266945
65	18806	266139
66	19051	265294
67	19313	264710
68	19635	264933
69	19939	264906
70	20249	264951
71	20526	264565
72	20801	264148
73	21116	264235
74	21391	263822
75	21629	262966
76	21862	262070
77	22149	261814
78	22458	261831
79	22761	261759
80	23022	261209
81	23306	260918
82	23557	260270
83	23808	259624
84	24054	258937
85	24345	258742
86	24631	258493
87	24907	258137
88	25143	257365
89	25438	257214
90	25771	257431
91	26047	257076
92	26355	257039
93	26638	256753
94	26921	256463
95	27153	255693
96	27387	254957
97	27629	254308
98	27934	254229
99	28218	253968
100	28521	253872
101	28771	253305
102	29045	252947
103	29345	252820
104	29627	252538
105	29934	252470
106	30239	252370
107	30483	251771
108	30792	251707
109	31112	251725
110	31394	251442
111	32083	254378
112	32378	254153
113	32655	253793
114	32960	253654
115	33217	253143
116	33484	252707
117	33724	252079
118	34033	251959
119	34284	251416
120	34533	250870
121	34823	250618
122	35078	250112
123	35361	249810
124	35599	249195
125	35866	248790
126	36223	248998
127	36514	248753
128	36791	248413
129	37029	247813
130	37282	247318
131	37561	246997
132	37792	246361
133	38064	246000
134	38346	245704
135	38633	245434
136	38911	245115
137	39204	244886
138	39496	244652
139	39760	244242
140	40178	244773
141	40489	244646
142	40724	244061
143	41058	244069
144	41295	243500
145	41583	243233
146	41837	242772
147	42131	242543
148	42398	242152
149	42709	242022
150	43044	242017
151	43349	241842
152	43671	241760
153	43917	241259
154	44204	240986
155	44492	240718
156	44812	240618
157	45082	240248
158	45344	239840
159	45587	239336
160	45884	239113
161	46143	238692
162	46409	238311
163	46728	238202
164	47010	237900
165	47238	237329
166	47506	236963
167	47806	236754
168	48084	236437
169	48314	235889
170	48562	235427
171	48854	235185
172	49158	234992
173	49446	234726
174	49743	234502
175	50026	234212
176	50323	233991
177	50616	233745
178	50909	233499
179	51199	233243
180	51496	233014
181	51774	232699
182	52089	232550
183	52382	232305
184	52676	232061
185	52966	231799
186	53254	231530
187	53547	231278
188	53842	231040
189	54155	230874
190	54457	230660
191	54702	230207
192	54949	229764
193	55233	229473
194	55487	229062
195	55779	228810
196	56090	228630
197	56355	228270
198	56605	227844
199	56879	227516
200	57187	227325
201	57477	227063
202	57741	226700
203	58019	226391
204	58281	226018
205	58573	225763
206	58855	225470
207	59107	225064
208	59408	224841
209	59721	224665
210	60000	224362
211	60316	224196
212	60583	223847
213	60851	223502
214	61135	223215
215	61428	222960
216	61728	222735
217	62019	222474
218	62288	222132
219	62572	221848
220	62931	221825
221	63201	221490
222	63464	221130
223	63751	220852
224	64024	220528
225	64306	220236
226	64637	220109
227	64899	219746
228	65183	219460
229	65494	219265
230	65879	219314
231	66215	219196
232	66507	218931
233	66787	218630
234	67066	218322
235	67337	217990
236	67633	217738
237	67869	217295
238	68129	216931
239	68418	216657
240	68752	216527
241	69047	216272
242	69308	215912
